,eventID,time,filename,type,page,clusterID
0,1,0,search: python gui projects for beginners;,search, python gui projects for beginners;,0
1,2,15,visit: Top 20 Opensource Python Tkinter Projects  - Dunebook;,visit, Top 20 Opensource Python Tkinter Projects  - Dunebook;,0
2,3,131,visit: GitHub - parthpanchal3399/Quiz-Application-With-dB-Connectivity-on-Python-Tkinter-: This Project has been developed my me & my friend Veer for our Second Year Python Project. It uses Tkinter Module for GUI and MySQLDb for database connectivity.;,visit, GitHub - parthpanchal3399/Quiz-Application-With-dB-Connectivity-on-Python-Tkinter-: This Project has been developed my me & my friend Veer for our Second Year Python Project. It uses Tkinter Module for GUI and MySQLDb for database connectivity.;,0
3,4,191,search: make a quiz app with python gui;,search, make a quiz app with python gui;,1
4,5,197,visit: How to Build a GUI Quiz App Using Tkinter and Open Trivia DB;,visit, How to Build a GUI Quiz App Using Tkinter and Open Trivia DB;,1
5,6,367,search: fractal generator python;,search, fractal generator python;,2
6,7,380,visit: Make Fractal Art With Python! - YouTube;,visit, Make Fractal Art With Python! - YouTube;,2
7,8,630,search: python fractal;,search, python fractal;,3
8,9,641,visit: Draw the Mandelbrot Set in Python – Real Python;,visit, Draw the Mandelbrot Set in Python – Real Python;,3
9,10,674,revisit: Make Fractal Art With Python! - YouTube;,revisit, Make Fractal Art With Python! - YouTube;,4
10,11,723,revisit: Draw the Mandelbrot Set in Python – Real Python;,revisit, Draw the Mandelbrot Set in Python – Real Python;,5
11,12,736,search: turtle python;,search, turtle python;,6
12,13,747,visit: turtle â Turtle graphics — Python 3.10.5 documentation;,visit, turtle â Turtle graphics — Python 3.10.5 documentation;,6
13,14,758,revisit: Make Fractal Art With Python! - YouTube;,revisit, Make Fractal Art With Python! - YouTube;,7
14,15,1520,revisit: turtle â Turtle graphics — Python 3.10.5 documentation;,revisit, turtle â Turtle graphics — Python 3.10.5 documentation;,8
15,16,1532,search: cool fractal equations;,search, cool fractal equations;,9
16,17,1542,visit: Fractals - Fractal Dimension;,visit, Fractals - Fractal Dimension;,9
17,18,1825,revisit: Make Fractal Art With Python! - YouTube;,revisit, Make Fractal Art With Python! - YouTube;,10
18,19,3216,revisit: Fractals - Fractal Dimension;,revisit, Fractals - Fractal Dimension;,11
19,20,3231,search: Sierpinsky Triangle python turtle;,search, Sierpinsky Triangle python turtle;,12
20,21,3236,visit: https://pythonguides.com/python-turtle-triangle/;,visit, https://pythonguides.com/python-turtle-triangle/;,12
21,22,3337,re-search: cool fractal equations;,re-search, cool fractal equations;,12
22,23,3340,visit: https://fractalfoundation.org/OFC/OFC-5-5.html;,visit, https://fractalfoundation.org/OFC/OFC-5-5.html;,12
23,24,3386,search: mandelbrot set;,search, mandelbrot set;,13
24,25,3388,visit: Mandelbrot set - Wikipedia;,visit, Mandelbrot set - Wikipedia;,13
25,26,3480,revisit: https://fractalfoundation.org/OFC/OFC-5-5.html;,revisit, https://fractalfoundation.org/OFC/OFC-5-5.html;,14
26,27,3963,revisit: https://pythonguides.com/python-turtle-triangle/;,revisit, https://pythonguides.com/python-turtle-triangle/;,14
27,28,4028,search: mandelbrot set python turtle;,search, mandelbrot set python turtle;,15
28,29,4043,visit: mandelbrot with turtles and Python - DEV Community;,visit, mandelbrot with turtles and Python - DEV Community;,15
29,30,4068,visit: Coding Games and Programming Challenges to Code Better;,visit, Coding Games and Programming Challenges to Code Better;,15
30,31,4186,visit: The Mandelbrot Set - Numberphile - YouTube;,visit, The Mandelbrot Set - Numberphile - YouTube;,15
31,32,4748,visit: What's so special about the Mandelbrot Set? - Numberphile - YouTube;,visit, What's so special about the Mandelbrot Set? - Numberphile - YouTube;,15
32,33,4776,revisit: Coding Games and Programming Challenges to Code Better;,revisit, Coding Games and Programming Challenges to Code Better;,15
33,34,4824,revisit: mandelbrot with turtles and Python - DEV Community;,revisit, mandelbrot with turtles and Python - DEV Community;,15
34,35,4827,visit: mandelbrot with turtle and Python3 · GitHub;,visit, mandelbrot with turtle and Python3 · GitHub;,15
35,36,5173,revisit: Coding Games and Programming Challenges to Code Better;,revisit, Coding Games and Programming Challenges to Code Better;,15
